ID_Iqama_Num,First_Name,Second_Name,Last_Name,Nationality,Email,PhoneNumber,DOB,Customer_Type,Short_Address
1432522324,James,Gordon,Adkins,Syrian,james.adkins@Gmail.com,566286030,13/08/2003,Corporate,FRLY8710
1895572579,Leslie,Elizabeth,Adams,Pakistani,leslie.adams@iCloud.com,557484978,26/12/1960,Retail,GSID7040
1423714587,Robert,Kimberly,Chavez,Saudi,robert.chavez@Gmail.com,577370209,23/07/2008,Retail,RMDD7983
2112268966,Scott,Rebecca,King,Saudi,scott.king@Uj.edu.sa,536682007,09/02/1981,Retail,TLQX6700
1820620654,Eric,Joseph,Walker,Saudi,eric.walker@Hotmail.com,519834089,25/05/1960,Retail,KJJE4590
2622249050,Jennifer,Jeffery,Yates,Saudi,jennifer.yates@iCloud.com,562044615,23/03/2005,Corporate,DESF4857
2040253610,Jennifer,Brooke,Harvey,Saudi,jennifer.harvey@Outlook.com,532688335,06/09/2013,Retail,GRGJ1726
2926610517,Donna,Jennifer,Wade,Saudi,donna.wade@Yahoo.com,561369911,05/09/1964,Retail,YMHH7496
1963524456,Austin,Stephanie,Vasquez,Filipino,austin.vasquez@iCloud.com,578419589,20/01/1988,Retail,QTSO7820
1461735383,Jonathan,Morgan,Phillips,Saudi,jonathan.phillips@Kau.edu.sa,537720708,11/03/1967,Retail,AKWO6423
1328415643,Tammy,Derrick,Moore,Filipino,tammy.moore@Gmail.com,547440156,20/01/1956,Retail,UTKK3364
1057526832,Richard,Christy,Smith,Saudi,richard.smith@Uj.edu.sa,567225851,02/09/2014,Corporate,JVTM7591
1855529949,Jane,Raymond,Jones,American,jane.jones@Yahoo.com,549296986,27/02/2003,Retail,YUKT7934
1989959806,Mark,Crystal,Rodriguez,Sudanese,mark.rodriguez@Uj.edu.sa,593232551,02/12/1994,Retail,GRZM1620
1397684958,Christopher,Janice,Hickman,American,christopher.hickman@Kau.edu.sa,560011590,08/11/1968,Retail,MPIS8341
1354791890,Margaret,Mary,Smith,Saudi,margaret.smith@Outlook.com,598964188,06/07/1991,Retail,QAKX6487
1838600828,William,Andrew,David,Saudi,william.david@Kau.edu.sa,565438882,20/07/1980,Corporate,RBEQ4287
2870357577,Kristy,Patricia,Perry,Saudi,kristy.perry@Gov.sa,578792049,28/12/1953,Corporate,BVPX7138
2007755191,Latoya,Jon,Garrison,Saudi,latoya.garrison@Outlook.com,572533496,23/04/1955,Retail,THSR6078
